time_s,current_A,voltage_V,temperature_C,current_density_A_cm2,case
10.2,34.1,0.531,-19.619464591518124,0.106,-20C
10.4,35.9,0.525,-19.58555566752341,0.113,-20C
10.6,37.4,0.52,-19.54993045199214,0.117,-20C
10.8,39.6,0.513,-19.512346954953415,0.126,-20C
11.0,40.5,0.511,-19.473188116194308,0.131,-20C
11.2,41.9,0.507,-19.432962161201402,0.134,-20C
11.4,43.8,0.504,-19.39104885190491,0.143,-20C
11.6,45.4,0.501,-19.34733006577775,0.144,-20C
11.8,47.1,0.498,-19.301939615369232,0.15,-20C
12.0,48.3,0.495,-19.25513738408463,0.154,-20C
12.2,50.9,0.493,-19.206363781584567,0.162,-20C
12.4,52.2,0.49,-19.155564528274223,0.167,-20C
12.6,53.9,0.489,-19.103318246367817,0.172,-20C
12.8,55.7,0.487,-19.049313542595623,0.176,-20C
13.0,56.5,0.486,-18.994126214383098,0.18,-20C
13.2,58.3,0.485,-18.937757407420886,0.185,-20C
13.4,59.7,0.485,-18.879828857804963,0.189,-20C
13.6,61.4,0.484,-18.82040590505613,0.195,-20C
13.8,61.8,0.489,-18.76018287478757,0.199,-20C
14.0,62.2,0.496,-18.70032242179482,0.2,-20C
14.2,61.8,0.502,-18.64115015702762,0.201,-20C
14.4,62.1,0.507,-18.582533091790246,0.2,-20C
14.6,61.8,0.512,-18.524466778000225,0.199,-20C
14.8,61.9,0.517,-18.466996189724306,0.199,-20C
15.0,62.1,0.521,-18.409760826411052,0.2,-20C
15.2,61.7,0.526,-18.353037832523135,0.2,-20C
15.4,61.8,0.53,-18.296860798181505,0.199,-20C
15.6,62.0,0.534,-18.240850076894837,0.199,-20C
15.8,61.9,0.538,-18.185156048897987,0.2,-20C
16.0,62.0,0.54,-18.12978020882951,0.2,-20C
16.2,62.1,0.545,-18.074584041130002,0.201,-20C
16.4,62.0,0.549,-18.01967402859838,0.2,-20C
16.6,61.9,0.552,-17.965157503993815,0.199,-20C
16.8,62.2,0.555,-17.910795478329696,0.2,-20C
17.0,61.9,0.558,-17.856700053450815,0.2,-20C
17.2,61.9,0.561,-17.803041430259576,0.2,-20C
17.4,61.9,0.564,-17.749645565636364,0.2,-20C
17.6,62.0,0.567,-17.696456467400644,0.2,-20C
17.8,62.0,0.57,-17.643477332028418,0.2,-20C
18.0,61.8,0.573,-17.59088354988372,0.199,-20C
18.2,61.8,0.576,-17.538679352747998,0.199,-20C
18.4,61.8,0.579,-17.48675627971982,0.199,-20C
18.6,62.0,0.581,-17.43500715386101,0.2,-20C
18.8,62.0,0.584,-17.383438262067205,0.199,-20C
19.0,61.9,0.587,-17.332224215564384,0.2,-20C
19.2,62.0,0.589,-17.2813135531451,0.2,-20C
19.4,62.0,0.591,-17.230658994674275,0.2,-20C
19.6,62.1,0.594,-17.180265309287524,0.2,-20C
19.8,62.0,0.596,-17.130190881011846,0.2,-20C
20.0,61.9,0.599,-17.080544352814105,0.199,-20C
20.2,62.0,0.601,-17.031206895426568,0.2,-20C
20.4,61.9,0.603,-16.982170677526245,0.2,-20C
20.6,62.0,0.605,-16.93342436954048,0.2,-20C
20.8,62.1,0.607,-16.884844169868916,0.2,-20C
21.0,61.8,0.609,-16.83663537064699,0.199,-20C
21.2,62.0,0.611,-16.78872898814699,0.2,-20C
21.4,61.9,0.614,-16.74100463594799,0.2,-20C
21.6,61.9,0.616,-16.693563836618456,0.2,-20C
21.8,62.0,0.618,-16.646293127546517,0.199,-20C
22.0,61.9,0.619,-16.599245210432105,0.2,-20C
22.2,62.1,0.621,-16.552366157575694,0.2,-20C
22.4,61.8,0.623,-16.505765703284215,0.2,-20C
22.6,61.9,0.625,-16.45949953849804,0.199,-20C
22.8,61.8,0.627,-16.41346219785355,0.199,-20C
23.0,61.9,0.629,-16.367654134387227,0.201,-20C
23.2,61.8,0.63,-16.32207591054537,0.199,-20C
23.4,62.1,0.632,-16.276622676850867,0.2,-20C
23.6,61.9,0.634,-16.231349734060803,0.2,-20C
23.8,61.7,0.635,-16.18652416312533,0.199,-20C
24.0,62.1,0.637,-16.141827766621123,0.2,-20C
24.2,62.8,0.636,-16.096785231144555,0.199,-20C
24.4,64.2,0.633,-16.05086823268293,0.205,-20C
24.6,65.7,0.63,-16.003652599771996,0.21,-20C
24.8,67.5,0.628,-15.954924907592996,0.215,-20C
25.0,70.0,0.626,-15.904148505481075,0.223,-20C
25.2,71.4,0.624,-15.851536353449985,0.228,-20C
25.4,72.1,0.622,-15.798059647031648,0.233,-20C
25.6,73.8,0.621,-15.743558757743738,0.235,-20C
25.8,75.4,0.619,-15.687552574803401,0.241,-20C
26.0,77.0,0.618,-15.630099978453512,0.245,-20C
26.2,78.7,0.617,-15.57115187687803,0.251,-20C
26.4,80.0,0.616,-15.510876700355976,0.256,-20C
26.6,82.0,0.614,-15.449117862326355,0.262,-20C
26.8,84.2,0.614,-15.385393061506967,0.267,-20C
27.0,86.0,0.613,-15.319818389165029,0.275,-20C
27.2,87.4,0.612,-15.252837320910864,0.279,-20C
27.4,88.0,0.611,-15.18511126829302,0.284,-20C
27.6,89.8,0.611,-15.116429731463176,0.287,-20C
27.8,91.5,0.61,-15.046204802621478,0.292,-20C
28.0,92.9,0.611,-14.97466420609388,0.297,-20C
28.2,92.9,0.613,-14.902736956889303,0.3,-20C
28.4,92.9,0.616,-14.831182629642033,0.3,-20C
28.6,92.7,0.618,-14.76010950092618,0.299,-20C
28.8,92.8,0.621,-14.689464688744895,0.3,-20C
29.0,92.8,0.623,-14.61914131348485,0.299,-20C
29.2,92.8,0.625,-14.549193118638161,0.299,-20C
29.4,93.0,0.627,-14.479511905252682,0.3,-20C
29.6,92.3,0.629,-14.410468611294139,0.299,-20C
29.8,93.0,0.631,-14.341793280675834,0.299,-20C
30.0,92.7,0.633,-14.273270601666557,0.299,-20C
30.2,92.9,0.634,-14.20516192992486,0.299,-20C
30.4,92.9,0.636,-14.137304368696025,0.299,-20C
30.6,92.7,0.638,-14.069904996594774,0.299,-20C
30.8,92.7,0.64,-14.002958801626706,0.299,-20C
31.0,92.7,0.641,-13.936355882656672,0.299,-20C
31.2,92.9,0.643,-13.869986936641256,0.299,-20C
31.4,92.9,0.644,-13.803847692803263,0.3,-20C
31.6,93.0,0.646,-13.737985882812639,0.299,-20C
31.8,92.8,0.647,-13.672500994698142,0.3,-20C
32.0,92.8,0.648,-13.607439912828882,0.299,-20C
32.2,92.7,0.65,-13.542745467857715,0.3,-20C
32.4,92.9,0.651,-13.478309010214762,0.299,-20C
32.6,92.9,0.652,-13.414074198952765,0.3,-20C
32.8,92.8,0.654,-13.350191597741377,0.3,-20C
33.0,92.9,0.655,-13.286604283379097,0.3,-20C
33.2,92.7,0.656,-13.223358896415368,0.3,-20C
33.4,92.9,0.657,-13.160398896964447,0.3,-20C
33.6,92.9,0.658,-13.09761663364973,0.299,-20C
33.8,93.1,0.66,-13.03500761138103,0.3,-20C
34.0,92.8,0.661,-12.972721003892428,0.299,-20C
34.2,93.0,0.662,-12.910751617472538,0.3,-20C
34.4,92.8,0.663,-12.849043339980467,0.3,-20C
34.6,92.8,0.664,-12.787693656628376,0.3,-20C
34.8,92.8,0.665,-12.726595365230013,0.299,-20C
35.0,93.1,0.666,-12.665590843111476,0.3,-20C
35.2,93.1,0.667,-12.604675753156117,0.3,-20C
35.4,93.1,0.668,-12.543998198045347,0.3,-20C
35.6,92.8,0.669,-12.483705650468199,0.299,-20C
35.8,92.8,0.67,-12.423792961019492,0.3,-20C
36.0,92.7,0.671,-12.36415403224702,0.3,-20C
36.2,92.9,0.672,-12.304686179801754,0.3,-20C
36.4,93.4,0.672,-12.2450807237933,0.3,-20C
36.6,92.5,0.673,-12.185891036579108,0.299,-20C
0.0,2.0,0.799,-24.995416484688832,0.006600660066006601,-25C
0.2,2.1,0.799,-24.995416484688832,0.006930693069306931,-25C
0.4,2.0,0.799,-24.993965296107348,0.006600660066006601,-25C
0.6,2.0,0.799,-24.992561301065223,0.006600660066006601,-25C
0.8,2.1,0.799,-24.991122981626773,0.006930693069306931,-25C
1.0,2.0,0.8,-24.989688730460614,0.006600660066006601,-25C
1.2,2.0,0.799,-24.98829688239823,0.006600660066006601,-25C
1.4,2.1,0.8,-24.986870532738067,0.006930693069306931,-25C
1.6,1.8,0.8,-24.985524800530953,0.005940594059405941,-25C
1.8,2.2,0.8,-24.984144535809946,0.007260726072607262,-25C
2.0,2.0,0.8,-24.982691313305594,0.006600660066006601,-25C
2.2,2.1,0.8,-24.98128060254649,0.006930693069306931,-25C
2.4,2.0,0.8,-24.97987381754257,0.006600660066006601,-25C
2.6,2.0,0.8,-24.97850927496316,0.006600660066006601,-25C
2.8,2.0,0.8,-24.977148517484267,0.006600660066006601,-25C
3.0,2.2,0.8,-24.97571482158716,0.007260726072607262,-25C
3.2,2.1,0.8,-24.974246642735693,0.006930693069306931,-25C
3.4,2.0,0.8,-24.972859460034414,0.006600660066006601,-25C
3.6,2.1,0.8,-24.97147613020391,0.006930693069306931,-25C
3.8,2.1,0.8,-24.970058275261835,0.006930693069306931,-25C
4.0,2.0,0.8,-24.968682752618605,0.006600660066006601,-25C
4.2,1.9,0.8,-24.96738747680149,0.006270627062706271,-25C
4.4,2.0,0.8,-24.966095779823718,0.006600660066006601,-25C
4.6,2.0,0.801,-24.964769517915357,0.006600660066006601,-25C
4.8,2.0,0.8,-24.96344694944014,0.006600660066006601,-25C
5.0,2.0,0.8,-24.962128058921877,0.006600660066006601,-25C
5.2,2.2,0.801,-24.960736299164267,0.007260726072607262,-25C
5.4,2.0,0.801,-24.95934843859746,0.006600660066006601,-25C
5.6,1.9,0.801,-24.958079068740886,0.006270627062706271,-25C
5.8,2.0,0.801,-24.95681320218958,0.006600660066006601,-25C
6.0,2.0,0.802,-24.955512751340308,0.006600660066006601,-25C
6.2,2.2,0.797,-24.95413946251921,0.007260726072607262,-25C
6.4,3.7,0.765,-24.952105480816925,0.012211221122112212,-25C
6.6,5.3,0.739,-24.948805143686343,0.01749174917491749,-25C
6.8,6.8,0.717,-24.94417356271572,0.022442244224422443,-25C
7.0,9.3,0.698,-24.937733762415093,0.030693069306930696,-25C
7.2,11.0,0.682,-24.92929969214393,0.036303630363036306,-25C
7.4,11.7,0.666,-24.919705504326544,0.03861386138613861,-25C
7.6,13.3,0.652,-24.908982315549736,0.043894389438943894,-25C
7.8,14.9,0.64,-24.896636929588254,0.049174917491749175,-25C
8.0,16.4,0.627,-24.882691534413823,0.05412541254125412,-25C
8.2,18.2,0.616,-24.86700926364557,0.06006600660066006,-25C
8.4,19.6,0.606,-24.849623367961243,0.0646864686468647,-25C
8.6,21.4,0.595,-24.830517238907476,0.07062706270627062,-25C
8.8,23.8,0.586,-24.809083042265087,0.07854785478547854,-25C
9.0,25.1,0.576,-24.78560115538272,0.08283828382838285,-25C
9.2,26.7,0.567,-24.760557849606982,0.08811881188118811,-25C
9.4,27.8,0.559,-24.734082700046457,0.09174917491749175,-25C
9.6,29.4,0.551,-24.70618374642231,0.09702970297029702,-25C
9.8,30.9,0.544,-24.676618257056532,0.10198019801980197,-25C
10.0,32.7,0.537,-24.645266879677138,0.10792079207920793,-25C
10.2,34.1,0.53,-24.61220124892796,0.11254125412541255,-25C
10.4,35.9,0.525,-24.57742986140724,0.11848184818481848,-25C
10.6,37.4,0.519,-24.540898144457884,0.12343234323432342,-25C
10.8,39.6,0.512,-24.50235605068204,0.1306930693069307,-25C
11.0,40.5,0.51,-24.46220453496042,0.13366336633663367,-25C
11.2,41.9,0.506,-24.420975736585007,0.1382838283828383,-25C
11.4,43.8,0.502,-24.378023532253277,0.14455445544554454,-25C
11.6,45.4,0.499,-24.33322688490878,0.14983498349834984,-25C
11.8,47.1,0.496,-24.286726192652562,0.15544554455445544,-25C
12.0,48.3,0.493,-24.238793124763728,0.1594059405940594,-25C
12.2,50.9,0.491,-24.18884372555021,0.167986798679868,-25C
12.4,52.2,0.489,-24.136822357348986,0.1722772277227723,-25C
12.6,53.9,0.487,-24.083334638990944,0.17788778877887787,-25C
12.8,55.7,0.485,-24.028091352111485,0.18382838283828384,-25C
13.0,56.5,0.484,-23.97206515145214,0.18646864686468648,-25C
13.2,58.3,0.483,-23.915107823803393,0.1924092409240924,-25C
13.4,59.7,0.482,-23.856667866021947,0.19702970297029704,-25C
13.6,61.4,0.482,-23.796893085124363,0.20264026402640264,-25C
13.8,61.8,0.487,-23.73631643148942,0.20396039603960395,-25C
14.0,62.2,0.493,-23.675764553625974,0.20528052805280528,-25C
14.2,61.8,0.498,-23.61572340777317,0.20396039603960395,-25C
14.4,62.1,0.504,-23.556281726726432,0.20495049504950497,-25C
14.6,61.8,0.509,-23.49729072261521,0.20396039603960395,-25C
14.8,61.9,0.513,-23.438836456163635,0.2042904290429043,-25C
15.0,62.1,0.518,-23.38058274915206,0.20495049504950497,-25C
15.2,61.7,0.522,-23.322819635001103,0.20363036303630364,-25C
15.4,61.8,0.526,-23.265589416555734,0.20396039603960395,-25C
15.6,62.0,0.53,-23.20850888645389,0.20462046204620463,-25C
15.8,61.9,0.534,-23.151690602514655,0.2042904290429043,-25C
16.0,62.0,0.537,-23.095187632930894,0.20462046204620463,-25C
16.2,62.1,0.541,-23.038873830681062,0.20495049504950497,-25C
16.4,62.0,0.544,-22.98286846618742,0.20462046204620463,-25C
16.6,61.9,0.547,-22.92729165430827,0.2042904290429043,-25C
16.8,62.2,0.551,-22.87190540335211,0.20528052805280528,-25C
17.0,61.9,0.553,-22.81683375588846,0.2042904290429043,-25C
17.2,61.9,0.556,-22.76225949314371,0.2042904290429043,-25C
17.4,61.9,0.559,-22.7080085728985,0.2042904290429043,-25C
17.6,62.0,0.562,-22.654031005856346,0.20462046204620463,-25C
17.8,62.0,0.565,-22.60033293053433,0.20462046204620463,-25C
18.0,61.8,0.568,-22.54709490393045,0.20396039603960395,-25C
18.2,61.8,0.57,-22.494319256264866,0.20396039603960395,-25C
18.4,61.8,0.573,-22.44189059649994,0.20396039603960395,-25C
18.6,62.0,0.576,-22.38969288344855,0.20462046204620463,-25C
18.8,62.0,0.578,-22.33772431628201,0.20462046204620463,-25C
19.0,61.9,0.581,-22.28614879188662,0.2042904290429043,-25C
19.2,62.0,0.583,-22.23489570715181,0.20462046204620463,-25C
19.4,62.0,0.585,-22.183894497065342,0.20462046204620463,-25C
19.6,62.1,0.588,-22.133131483182286,0.20495049504950497,-25C
19.8,62.0,0.59,-22.08265084366322,0.20462046204620463,-25C
20.0,61.9,0.592,-22.032555083259656,0.2042904290429043,-25C
20.2,62.0,0.594,-21.98272118085227,0.20462046204620463,-25C
20.4,61.9,0.597,-21.933143394571392,0.2042904290429043,-25C
20.6,62.0,0.599,-21.883818503603056,0.20462046204620463,-25C
20.8,62.1,0.601,-21.83463263290547,0.20495049504950497,-25C
21.0,61.8,0.603,-21.785811570033804,0.20396039603960395,-25C
21.2,62.0,0.605,-21.737299602768264,0.20462046204620463,-25C
21.4,61.9,0.607,-21.68898623797968,0.2042904290429043,-25C
21.6,61.9,0.609,-21.64098507389527,0.2042904290429043,-25C
21.8,62.0,0.611,-21.593186240135555,0.20462046204620463,-25C
22.0,61.9,0.612,-21.545646741446735,0.2042904290429043,-25C
22.2,62.1,0.614,-21.498308932752384,0.20495049504950497,-25C
22.4,61.8,0.616,-21.451284187809865,0.20396039603960395,-25C
22.6,61.9,0.618,-21.404627680535885,0.2042904290429043,-25C
22.8,61.8,0.62,-21.358229171658213,0.20396039603960395,-25C
23.0,61.9,0.621,-21.312088706372425,0.2042904290429043,-25C
23.2,61.8,0.623,-21.266206060636467,0.20396039603960395,-25C
23.4,62.1,0.625,-21.22047182966283,0.20495049504950497,-25C
23.6,61.9,0.626,-21.17494042273778,0.2042904290429043,-25C
23.8,61.7,0.628,-21.129882648592105,0.20363036303630364,-25C
24.0,62.1,0.629,-21.084971661439756,0.20495049504950497,-25C
24.2,62.8,0.628,-21.03972045804669,0.20726072607260726,-25C
24.4,64.2,0.625,-20.9935880236675,0.2118811881188119,-25C
24.6,65.7,0.622,-20.946137632283794,0.21683168316831683,-25C
24.8,67.5,0.62,-20.89714987229651,0.22277227722772278,-25C
25.0,70.0,0.618,-20.84607449451768,0.23102310231023102,-25C
25.2,71.4,0.615,-20.793127964504222,0.23564356435643566,-25C
25.4,72.1,0.613,-20.739304365166774,0.23795379537953792,-25C
25.6,73.8,0.612,-20.68444133260952,0.24356435643564356,-25C
25.8,75.4,0.61,-20.628044964751677,0.24884488448844885,-25C
26.0,77.0,0.609,-20.570174815109123,0.25412541254125415,-25C
26.2,78.7,0.607,-20.51077977170034,0.2597359735973597,-25C
26.4,80.0,0.606,-20.450032031776924,0.264026402640264,-25C
26.6,82.0,0.605,-20.38777017795298,0.2706270627062706,-25C
26.8,84.2,0.604,-20.32349729324134,0.2778877887788779,-25C
27.0,86.0,0.603,-20.25733151630505,0.2838283828382838,-25C
27.2,87.4,0.602,-20.1897284342133,0.28844884488448846,-25C
27.4,88.0,0.601,-20.12136771867504,0.29042904290429045,-25C
27.6,89.8,0.6,-20.052033092838517,0.29636963696369634,-25C
27.8,91.5,0.599,-19.981118691238922,0.30198019801980197,-25C
28.0,92.9,0.6,-19.90885815897312,0.3066006600660066,-25C
28.2,92.9,0.602,-19.836208529025814,0.3066006600660066,-25C
28.4,92.9,0.605,-19.763953378596828,0.3066006600660066,-25C
28.6,92.7,0.607,-19.692204466298566,0.30594059405940593,-25C
28.8,92.8,0.609,-19.62090667810404,0.30627062706270625,-25C
29.0,92.8,0.611,-19.549949608231007,0.30627062706270625,-25C
29.2,92.8,0.613,-19.479387922099225,0.30627062706270625,-25C
29.4,93.0,0.615,-19.40911016805217,0.3069306930693069,-25C
29.6,92.3,0.617,-19.339497843925674,0.30462046204620463,-25C
29.8,93.0,0.619,-19.270273103489163,0.3069306930693069,-25C
30.0,92.7,0.621,-19.201219651155416,0.30594059405940593,-25C
30.2,92.9,0.622,-19.132607189561188,0.3066006600660066,-25C
30.4,92.9,0.624,-19.064267970717342,0.3066006600660066,-25C
30.6,92.7,0.625,-18.996414435413133,0.30594059405940593,-25C
30.8,92.7,0.627,-18.929041300230782,0.30594059405940593,-25C
31.0,92.7,0.628,-18.86203566992791,0.30594059405940593,-25C
31.2,92.9,0.629,-18.795285380041836,0.3066006600660066,-25C
31.4,92.9,0.631,-18.728786131002895,0.3066006600660066,-25C
31.6,93.0,0.632,-18.66258701541858,0.3069306930693069,-25C
31.8,92.8,0.633,-18.596789979181267,0.30627062706270625,-25C
32.0,92.8,0.634,-18.531442937132315,0.30627062706270625,-25C
32.2,92.7,0.635,-18.466487120727834,0.30594059405940593,-25C
32.3999999999999,92.9,0.636,-18.401811182168736,0.3066006600660066,-25C
32.6,92.9,0.637,-18.337357406437352,0.3066006600660066,-25C
32.7999999999999,92.8,0.638,-18.2732798935056,0.30627062706270625,-25C
33.0,92.9,0.639,-18.209520281131212,0.3066006600660066,-25C
33.1999999999999,92.7,0.64,-18.146126289553802,0.30594059405940593,-25C
33.3999999999999,92.9,0.641,-18.083040122247933,0.3066006600660066,-25C
33.5999999999999,92.9,0.642,-18.02015190697905,0.3066006600660066,-25C
33.7999999999999,93.1,0.642,-17.95745704138021,0.30726072607260724,-25C
33.9999999999999,92.8,0.643,-17.89510792243253,0.30627062706270625,-25C
34.1999999999999,93.0,0.643,-17.83309906829875,0.3069306930693069,-25C
34.3999999999999,92.8,0.644,-17.77137303378167,0.30627062706270625,-25C
34.5999999999999,92.8,0.644,-17.710029196799226,0.30627062706270625,-25C
34.7999999999999,92.8,0.644,-17.648957986773798,0.30627062706270625,-25C
34.9999999999999,93.1,0.644,-17.587998536091806,0.30726072607260724,-25C
35.1999999999999,93.1,0.644,-17.52714647537862,0.30726072607260724,-25C
35.3999999999999,93.1,0.643,-17.466552824243042,0.30726072607260724,-25C
35.5999999999999,92.8,0.643,-17.406367772321165,0.30627062706270625,-25C
35.7999999999999,92.8,0.643,-17.346586022009284,0.30627062706270625,-25C
35.9999999999999,92.7,0.642,-17.287098920354047,0.30594059405940593,-25C
36.1999999999999,92.9,0.642,-17.227798400239315,0.3066006600660066,-25C
36.3999999999999,93.4,0.641,-17.168370249909113,0.3082508250825083,-25C
36.5999999999999,92.5,0.641,-17.109377735356304,0.30528052805280526,-25C
